rank,title,genre,platforms,release_date,developer,publisher,description
224,Original War,RTS,['PC'],2001-04-20,Altar Interactive,Virgin Interactive,"Original War is a real-time strategy game set in an alternate-history Cold War scenario where players command military units, resources, and specialists across a prehistoric battlefield. Instead of building bases in the usual way, the game emphasizes capturing and controlling key locations, managing human characters with distinct skills, and using a unique time-travel premise to influence events. Players can recruit engineers, scientists, and combat units, research technologies, and balance strategic planning with character survival. Its story-driven campaigns and branching factions create a strong focus on tactical decision-making and narrative consequences."
225,Disciples II: Dark Prophecy,RTS,['PC'],2002-04-17,Strategy First,Strategy First,"Disciples II: Dark Prophecy is a dark fantasy turn-based strategy game with role-playing elements and tactical combat. Players lead one of several factions in a war for control of a grim, monster-haunted world, building towns, recruiting armies, and developing heroes with unique skills and spellcasting abilities. The game is known for its gothic atmosphere, detailed artwork, and challenging strategic battles that emphasize positioning, unit upgrades, and careful resource management. As the first campaign in Disciples II, Dark Prophecy introduces the core story and mechanics of the series, combining empire management on the adventure map with intense, compact combat encounters."
226,Unreal,Shooter,"['PC', 'PlayStation 2', 'Dreamcast']",1998-05-22,Epic MegaGames,GT Interactive,"Unreal is a first-person shooter developed by Epic MegaGames and Digital Extremes, originally released in 1998. Set on the alien planet Na Pali, the game follows a prisoner who escapes a crashed transport and must fight through a hostile world dominated by the brutal Skaarj. Known for its advanced graphics for the time, atmospheric environments, and technical showcase use of the Unreal Engine, the game combined fast-paced combat with exploration and a strong science-fiction setting. Unreal helped establish the foundation for one of gaming’s most influential engine technologies and became the start of the long-running Unreal franchise."
227,Golden Sun: The Lost Age,RPG,['Game Boy Advance'],2002-06-28,Camelot Software Planning,Nintendo,"Golden Sun: The Lost Age is a turn-based fantasy role-playing game and the sequel to Golden Sun. Players follow a new party of protagonists, including Felix and Jenna, as they continue the story from the first game and explore the world of Weyard. The game features strategic turn-based battles, elemental Psynergy magic, character classes influenced by collectible Djinn, and elaborate puzzle-solving in dungeons using magical abilities. It is known for its deep combat system, exploration, and the ability to transfer save data from the previous game to affect story details and character progression."
228,Valkyrie Profile 2: Silmeria,RPG,['PlayStation 2'],2006-06-22,tri-Ace,Square Enix,"Valkyrie Profile 2: Silmeria is a Japanese role-playing game set in a Norse-inspired world, serving as a prequel to Valkyrie Profile. The story follows Silmeria, a valkyrie imprisoned in the body of Princess Alicia, as they investigate a looming conflict involving the gods, humans, and the fate of the world. Players explore side-scrolling environments, solve puzzles, and engage in strategic real-time combat that emphasizes positioning, timing, and chaining attacks among party members. The game features a distinctive “C.V.S.” battle system, dungeons filled with platforming challenges, and a deep equipment and skill customization system."
229,Harvest Moon: Back to Nature,RPG,['PlayStation'],1999-09-16,Victor Interactive Software,Natsume,"Harvest Moon: Back to Nature is a farming life simulation RPG for the PlayStation, set in the rustic village of Mineral Town. Players inherit a neglected farm and work to restore it by planting crops, raising livestock, fishing, mining, foraging, and building relationships with the local townspeople. The game emphasizes daily routine, long-term planning, and community life, with changing seasons, festivals, marriage options, and the eventual goal of successfully reviving the farm. It is one of the most beloved entries in the Harvest Moon series and is especially known for its charming atmosphere, deep social systems, and relaxing gameplay."
230,Shin Megami Tensei: Nocturne,RPG,"['PlayStation 2', 'PlayStation 4', 'Nintendo Switch', 'PC']",2003-02-20,Atlus,Atlus,"Shin Megami Tensei: Nocturne is a dungeon-crawling role-playing game set in a post-apocalyptic Tokyo transformed by the mystical event known as the Conception. Players control a silent protagonist who becomes a demi-fiend and must navigate a hostile world shaped by competing philosophies and demonic forces. The game features turn-based combat, demon recruitment and fusion, and a dark, challenging atmosphere centered on choice, alignment, and survival. It originally released in Japan for PlayStation 2 and later received enhanced international versions, including the expanded Maniacs edition and the HD Remaster for modern platforms."
231,Golden Sun,RPG,"['Game Boy Advance', 'Nintendo Switch Online + Expansion Pack']",2001-08-01,Camelot Software Planning,Nintendo,"Golden Sun is a classic turn-based fantasy RPG for the Game Boy Advance. Set in the world of Weyard, it follows a group of young Adepts who must stop the power of Alchemy from being unleashed by the antagonists Saturos and Menardi. The game is known for its blend of traditional party-based combat, exploration, and puzzle solving using magical powers called Psynergy. Players collect Djinn, elemental spirits that can be set to characters to alter their stats, abilities, and summons. Golden Sun was praised for its detailed sprite graphics, soundtrack, and clever dungeon design, and it became one of the most acclaimed role-playing games on the GBA."
232,Age of Empires II: Gold Edition,RTS,['PC'],2001-10-24,Ensemble Studios,Microsoft Game Studios,"Age of Empires II: Gold Edition is a real-time strategy compilation for PC that bundles Age of Empires II: The Age of Kings with its expansion, The Conquerors. Players build civilizations from the Middle Ages, gather resources, advance through ages, and wage war using infantry, cavalry, archers, siege weapons, and naval forces. The Gold Edition adds new campaigns, civilizations, units, and gameplay refinements from The Conquerors expansion, making it a definitive early version of the classic strategy experience."
233,Command & Conquer: Red Alert 2,RTS,['PC'],2000-10-23,Westwood Studios,Electronic Arts,"Command & Conquer: Red Alert 2 is a real-time strategy game set in an alternate-history Cold War where the Soviet Union and the Allied nations wage global war. Players gather resources, build bases, produce units, and command armies across fast-paced single-player campaigns and skirmish battles. The game is known for its distinct faction design, memorable live-action cutscenes, and over-the-top unit abilities such as psychic powers, giant war machines, and naval assaults. It also introduced the expansion Yuri's Revenge, which added a third faction and new campaign content. Red Alert 2 is widely regarded as one of the most popular and influential RTS titles of its era."
234,Stronghold,RTS,['PC'],2001-07-19,Firefly Studios,Take-Two Interactive,"Stronghold is a real-time strategy and castle simulation game set in medieval England. Players build and manage a fortress, balance food, tax, housing, and popularity, and command armies in siege warfare against rival lords. The game combines city-building and economic management with tactical combat, emphasizing defense, supply chains, and fortification design. It became known for its distinctive focus on castle construction and historical medieval atmosphere."
235,The Ultimate DOOM,Shooter,"['PC', 'DOS']",1995-04-30,id Software,id Software,"The Ultimate DOOM is an expanded edition of the original DOOM, featuring all three episodes from the 1993 game plus a brand-new fourth episode, Thy Flesh Consumed. Players battle through demonic hordes across fast-paced first-person shooter levels while collecting weapons, health, and ammo, using classic guns like the shotgun, chaingun, rocket launcher, and the powerful BFG 9000. The game is known for its intense action, maze-like level design, multiplayer deathmatch support, and defining influence on the FPS genre. It was released as a retail update to the original DOOM and remains one of the most iconic and influential shooters ever made."
236,Max Payne 2: The Fall of Max Payne,Shooter,"['PC', 'PlayStation 2', 'Xbox']",2003-10-14,Remedy Entertainment,Rockstar Games,"Max Payne 2: The Fall of Max Payne is a cinematic third-person shooter following ex-cop Max Payne as he becomes entangled in a dark noir mystery in New York City. Blending bullet-time gunplay, dramatic storytelling, and comic-panel cutscenes, the game continues Max’s story as he reunites with Mona Sax while uncovering a conspiracy involving corruption, betrayal, and revenge. The game is known for its tight shooting mechanics, atmospheric presentation, and emotionally driven narrative."
237,Stronghold: Crusader,RTS,['PC'],2002-07-31,Firefly Studios,Take-Two Interactive,"Stronghold: Crusader is a real-time strategy and castle-simulation game set during the medieval Crusades. Players build and manage desert fortresses, gather resources, train armies, and defend against or attack enemy strongholds. It expands on the original Stronghold by focusing on Middle Eastern warfare, introducing new units, siege equipment, and AI lords with distinct tactics. The game includes a large single-player campaign, historical skirmish missions, and the popular Crusader Trail challenge mode, emphasizing resource management, fortification design, and large-scale sieges."
238,Quake II,Shooter,"['PC', 'PlayStation', 'Nintendo 64', 'Dreamcast', 'Mac']",1997-12-09,id Software,GT Interactive,"Quake II is a first-person shooter set in a dark sci-fi war against the Strogg, a hostile cybernetic alien race. Unlike its predecessor, it features a more cohesive single-player campaign with mission-based objectives, as well as fast-paced multiplayer deathmatch gameplay. Players battle through industrial bases, military installations, and alien environments using a arsenal of weapons such as the blaster, shotgun, railgun, and hyperblaster. Known for its atmospheric level design, strong performance, and influential multiplayer, Quake II became one of the defining shooters of the late 1990s and helped establish id Software’s reputation for technical and gameplay innovation."
239,Jak and Daxter: The Precursor Legacy,Adventure,['PlayStation 2'],2001-12-03,Naughty Dog,Sony Computer Entertainment,"Jak and Daxter: The Precursor Legacy is a 3D platforming adventure set on the colorful island world of Misty Island, Geyser Rock, and other interconnected locations. Players control Jak as he and his wisecracking companion Daxter explore environments, collect Precursor Orbs and Power Cells, and uncover the secrets of a vanished ancient civilization called the Precursors. The game blends exploration, platforming, light combat, and puzzle-solving, with a focus on open-ended progression through multiple regions. It is the first entry in the Jak and Daxter series and is known for its bright art style, smooth controls, and seamless world design."
240,Space Rangers,RPG,['PC'],2002-10-01,Elemental Games,1C Company,"Space Rangers is a hybrid open-world space adventure that blends RPG, strategy, trading, combat, and text-based quest elements. Set in a dynamic galaxy overrun by hostile robots known as the Dominators, players choose among multiple careers such as trader, pirate, military pilot, or bounty hunter. The game features free-form exploration, turn-based tactical ground missions, real-time space combat, and a living economy shaped by faction wars and changing events. Its nonlinear structure and high replayability made it a cult classic among PC strategy-RPG fans."
241,Firewall Zero Hour,Shooter,"['PlayStation 4', 'PlayStation VR']",2018-08-28,First Contact Entertainment,Sony Interactive Entertainment,"Firewall Zero Hour is a tactical first-person shooter designed for PlayStation VR. Two teams of mercenaries face off in objective-based multiplayer matches, where one team attacks to hack a laptop while the other defends and tries to eliminate the opposition. The game emphasizes communication, teamwork, and careful planning, with VR immersion enhancing the tension of close-quarters combat. Players can choose from a roster of contractors, each with unique abilities and loadouts, and progress by completing contracts to unlock new gear and customization options. Built around strategic positioning and coordinated assaults rather than fast arcade shooting, Firewall Zero Hour became one of the most notable competitive VR shooters on PS4."
242,Darkarta: A Broken Heart's Quest,Adventure,"['PC', 'Mobile']",2017-10-05,FIVE-BN Games,FIVE-BN Games,"Darkarta: A Broken Heart's Quest is a hidden-object adventure game set in a mystical world inspired by ancient myths and legends. Players follow Mary as she searches for her missing daughter, uncovering the dark secrets of the island of Darkarta and confronting a powerful evil force. The game combines story-driven exploration, puzzle solving, hidden-object scenes, and mini-games as the player travels through richly illustrated locations and pieces together the truth behind the disappearance. It is known for its atmospheric presentation, emotional storyline, and classic casual adventure gameplay."
243,Final Fantasy VII Rebirth,RPG,['PlayStation 5'],2024-02-29,Square Enix,Square Enix,"Final Fantasy VII Rebirth is the second entry in Square Enix’s remake project of Final Fantasy VII. It follows Cloud Strife and his allies as they leave Midgar and journey across the wider world in pursuit of Sephiroth. The game expands the original story with new locations, side quests, combat mechanics, and character interactions while blending real-time action with strategic command-based abilities. It features a large open-world structure, a party system with multiple playable characters, and a cinematic presentation that continues the reimagined narrative of the classic RPG."
244,The Great Ace Attorney Chronicles,Adventure,"['PC', 'PlayStation 4', 'Nintendo Switch']",2021-07-27,Capcom,Capcom,"The Great Ace Attorney Chronicles is a compilation of two legal adventure games, The Great Ace Attorney: Adventures and The Great Ace Attorney 2: Resolve. Set in late 19th-century Japan and Victorian-era London, it follows Ryunosuke Naruhodo, an ancestor of Phoenix Wright, as he studies law, teams up with detective Herlock Sholmes, and defends clients in courtroom battles filled with investigation, puzzles, and dramatic twists. The collection features updated visuals, English localization, and quality-of-life improvements."
245,Kirby and the Forgotten Land,Adventure,['Nintendo Switch'],2022-03-25,HAL Laboratory,Nintendo,"Kirby and the Forgotten Land is a 3D platform-adventure game starring Kirby, who explores a mysterious post-apocalyptic world filled with abandoned cities, ruins, and strange wildlife. Players can inhale enemies, copy their abilities, and use new forms of movement and combat to navigate open-ended stages. The game introduces the Mouthful Mode mechanic, which lets Kirby wrap around large objects such as cars, vending machines, and traffic cones to solve puzzles and access hidden areas. It also includes co-op play with Bandana Waddle Dee and a variety of boss battles, collectibles, and upgradeable copy abilities. Combining classic Kirby charm with modern 3D level design, the game emphasizes exploration, light combat, and creative platforming."
246,Hi-Fi Rush,Action,"['PC', 'Xbox Series X|S', 'PlayStation 5']",2023-01-25,Tango Gameworks,Bethesda Softworks,"Hi-Fi Rush is a rhythm-action game where every move, attack, and combo syncs to the beat of the music. Players control Chai, an aspiring rockstar with a faulty robotic arm, who gains the power to fight in time with the soundtrack after a corporate experiment fuses music into his world. Set in a colorful, cel-shaded sci-fi facility, the game blends fast-paced combat, platforming, and stylish boss battles with a strong emphasis on timing and musical flow. Its mix of accessible action and rhythm-based mechanics, along with energetic presentation and humor, made it a standout release."
247,Pizza Tower,Action,"['PC', 'Nintendo Switch']",2023-01-26,Tour De Pizza,Tour De Pizza,"Pizza Tower is a fast-paced 2D action platformer inspired by classic Wario Land games. Players control Peppino Spaghetti, a highly anxious but surprisingly capable pizza chef, as he races through surreal, hand-drawn levels inside a bizarre tower to recover his restaurant’s reputation and stop the tower’s plans. The game emphasizes momentum, exploration, combo-driven scoring, and frantic movement, rewarding players for smashing through enemies, chaining abilities, and clearing stages quickly. Its cartoon-like animation, expressive character work, and energetic soundtrack give it a distinct personality, while secrets, ranked stage endings, and time attacks add replay value for players seeking high scores and mastery."
248,Metroid Prime Remastered,Adventure,['Nintendo Switch'],2023-02-08,Retro Studios,Nintendo,"Metroid Prime Remastered is an enhanced version of the original 2002 first-person adventure game Metroid Prime. Players control Samus Aran as she explores the alien planet Tallon IV, scanning environments, battling hostile creatures, uncovering lore, and gradually gaining new abilities to access previously unreachable areas. The remaster features updated visuals, improved lighting, refined controls with modern dual-stick support, and quality-of-life updates while preserving the original atmosphere, exploration-driven gameplay, and puzzle-solving design that made the game a classic."
249,Super Smash Bros. for Nintendo 3DS / Wii U,Action,"['Nintendo 3DS', 'Wii U']",2014-09-13,Sora Ltd.,Nintendo,"Super Smash Bros. for Nintendo 3DS / Wii U is a crossover fighting game that brings together characters, stages, and music from across Nintendo’s history and several third-party series. Players battle in fast-paced arena fights using attacks, special moves, items, and stage hazards, with the goal of knocking opponents off the stage rather than reducing a health bar. The game features a large roster including Mario, Link, Pikachu, Kirby, and newcomers such as Mega Man, Villager, and the Wii Fit Trainer. The 3DS version includes exclusive stages and modes, while the Wii U version offers enhanced visuals, a larger stage selection, and multiplayer options for up to eight players. Both versions support local and online play, trophies/collectibles, and extensive customization of fighters and equipment."
250,To the Moon,Adventure,"['PC', 'Mac', 'Linux', 'iOS', 'Android', 'Nintendo Switch']",2011-11-01,Freebird Games,Freebird Games,"To the Moon is a story-driven adventure game about two doctors who use a technology to enter a dying man's memories and alter his past so he can fulfill his final wish: to go to the moon. The game focuses on exploration, dialogue, and narrative choices rather than combat or puzzles, and is known for its emotional storytelling, memorable music, and pixel-art presentation."
251,Red Dead Redemption: Game of the Year Edition,Action,"['PlayStation 3', 'Xbox 360']",2011-10-11,Rockstar San Diego,Rockstar Games,"Red Dead Redemption: Game of the Year Edition is the definitive release of Rockstar’s open-world Western action game, bundling the original Red Dead Redemption with its major downloadable content. Set in the dying days of the American frontier, the game follows former outlaw John Marston as he is forced by federal agents to hunt down members of his old gang in exchange for his family’s safety. Players explore a vast world on horseback, engage in gunfights, hunt wildlife, take on side activities, and experience a story driven by themes of loyalty, violence, and the end of the Old West. The Game of the Year Edition includes the single-player Undead Nightmare expansion and additional bonus content, offering more missions, weapons, challenges, and multiplayer content in one package."
252,God of War: Origins Collection,Action,['PlayStation 3'],2011-09-13,Ready at Dawn,Sony Computer Entertainment,"God of War: Origins Collection is a PlayStation 3 compilation of the two PlayStation Portable God of War titles, God of War: Chains of Olympus and God of War: Ghost of Sparta. The collection features remastered high-definition visuals, anti-aliasing, trophy support, and improved performance for home consoles. Players follow Kratos through prequel stories set before the original God of War, battling mythological creatures, solving environmental puzzles, and using the franchise’s signature combo-based combat and brutal finishers. Developed by Ready at Dawn and published by Sony Computer Entertainment, the collection brought the PSP entries to a wider audience with enhanced presentation and a polished console experience."
253,Pikmin 3,Adventure,"['Wii U', 'Nintendo Switch']",2013-07-13,Nintendo EAD,Nintendo,"Pikmin 3 is a real-time strategy adventure game in which players control three explorers stranded on the planet PNF-404 and command small plant-like creatures called Pikmin to solve puzzles, gather fruit, and battle hostile wildlife. Each Pikmin type has unique abilities, such as red Pikmin resisting fire, yellow Pikmin handling electricity, and blue Pikmin surviving in water, which players must use strategically to navigate environments and complete objectives. The game emphasizes exploration, multitasking, and resource management as players split tasks between characters and direct squads of Pikmin to overcome environmental hazards. Originally released for the Wii U, it received an enhanced Nintendo Switch version, Pikmin 3 Deluxe, with additional features and content."
254,P.T.,Adventure,['PlayStation 4'],2014-08-12,Kojima Productions,Sony Computer Entertainment,"P.T. (short for ""playable teaser"") is a first-person psychological horror demo released for the PlayStation 4. Designed as a mysterious teaser for the cancelled Silent Hills project, it places the player in a looping, dimly lit suburban hallway filled with unsettling supernatural events, cryptic puzzles, and escalating tension. The experience became famous for its atmospheric terror, clever design, and hidden clues, as well as for the collaboration between Hideo Kojima and filmmaker Guillermo del Toro. Although the full game was never completed, P.T. has remained highly influential and is widely regarded as one of the most memorable horror experiences in gaming."
255,Yakuza 0,Action,"['PlayStation 4', 'PlayStation 3', 'PC', 'Xbox One', 'Xbox Series X/S']",2015-03-12,Ryu Ga Gotoku Studio,Sega,"Yakuza 0 is an action-adventure game and a prequel to the Yakuza series, set in the late 1980s during Japan's bubble era. Players follow two protagonists, Kazuma Kiryu and Goro Majima, as they become entangled in a violent struggle over a small but highly valuable plot of land known as the Empty Lot in Kamurocho. The game blends dramatic crime drama storytelling with brawler combat, side activities, karaoke, mini-games, and exploration of the vibrant city districts of Kamurocho and Sotenbori. It is widely praised for its writing, characters, and polished combat system."
256,Sonic 3 & Knuckles,Action,"['Sega Genesis', 'Mega Drive']",1994-10-18,Sonic Team,Sega,"Sonic 3 & Knuckles is a side-scrolling platformer that combines Sonic the Hedgehog 3 and Sonic & Knuckles into a single, seamless adventure using Sega’s lock-on technology. Players control Sonic and/or Knuckles as they race through large, colorful stages, battle Dr. Robotnik’s machines, and collect Chaos Emeralds. Each character has unique abilities: Sonic can use elemental shields and fast movement, while Knuckles can glide and climb walls to access alternate routes and hidden areas. The game is known for its expansive level design, multi-path stages, and polished physics, and it is widely regarded as one of the best entries in the Sonic series."
257,Super Mario 3D World,Adventure,"['Wii U', 'Nintendo Switch']",2013-11-21,Nintendo EAD Tokyo,Nintendo,"Super Mario 3D World is a 3D platforming adventure in which Mario, Luigi, Princess Peach, and Toad travel through the Sprixie Kingdom to rescue the Sprixie Princesses from Bowser. The game blends traditional Mario-style platforming with cooperative multiplayer for up to four players, offering inventive level design, power-ups like the Super Bell, and character-specific abilities. Originally released for Wii U, it was later enhanced and re-released on Nintendo Switch as Super Mario 3D World + Bowser’s Fury, adding improved online play and the bonus open-world Bowser’s Fury mode."
258,The Wolf Among Us: Episode 1 - Faith,Adventure,"['PC', 'PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One', 'iOS', 'Android']",2013-10-11,Telltale Games,Telltale Games,"The first episode of The Wolf Among Us, based on Bill Willingham’s Fables comic series, introduces players to Bigby Wolf, the sheriff of Fabletown. Set in a dark, noir-style version of New York City, the game follows Bigby as he investigates a brutal murder that quickly spirals into a larger mystery involving the hidden lives of fairy-tale characters living among humans. Like other Telltale adventure games, it emphasizes story, dialogue choices, quick-time events, and branching decisions that affect how characters respond to Bigby throughout the series. Episode 1, Faith, establishes the game’s gritty tone, distinctive art style, and central cast while setting up the moral dilemmas and tension that drive the narrative forward."
259,Danganronpa 2: Goodbye Despair,Adventure,"['PlayStation Portable', 'PlayStation Vita', 'PC', 'PlayStation 4', 'iOS', 'Android', 'Nintendo Switch']",2012-07-26,Spike Chunsoft,Spike Chunsoft,"Danganronpa 2: Goodbye Despair is a visual novel adventure game and the sequel to Danganronpa: Trigger Happy Havoc. It follows a new group of elite students, the ""Ultimate"" students, who find themselves trapped on the tropical Jabberwock Island and forced into a deadly killing game by the mysterious Monokuma. Players investigate murders, gather clues, and participate in high-stakes class trials where contradictions are exposed through logic, reaction-based debates, and minigames. The story mixes suspense, dark comedy, and psychological twists, with multiple character-driven trials and an overarching mystery about the island and the participants' pasts."
260,RimWorld,Survival,"['PC', 'macOS', 'Linux', 'Console']",2013-11-04,Ludeon Studios,Ludeon Studios,"RimWorld is a sci-fi colony simulation and survival game where players manage a group of crash-landed survivors on a hostile alien planet. Designed around emergent storytelling, the game uses a powerful AI storyteller system to generate events, threats, and opportunities that shape each playthrough differently. Players build shelters, gather resources, research technologies, manage colonists' needs and relationships, and defend against raids, disease, weather, and environmental hazards. The game is known for its deep simulation, mod support, and unpredictable scenarios that can lead to dramatic, often humorous stories."
261,Muv-Luv Alternative,Adventure,"['PC', 'PlayStation 2', 'PlayStation Vita']",2006-02-24,âge,âge,"Muv-Luv Alternative is a Japanese visual novel and the direct sequel to Muv-Luv. It continues the story of Takeru Shirogane as he is thrust back into a devastating alternate-world conflict against the alien BETA. Blending military science fiction, drama, and romance, the game is known for its intense narrative, large-scale battles, and emotional character arcs. It is widely regarded as one of the most acclaimed visual novels ever made, and its influence helped shape the popularity of the genre beyond Japan."
262,Therian Saga,RPG,['PC'],2015-12-17,Virtys,Virtys,"Therian Saga is a massively multiplayer online role-playing game set in a persistent fantasy world where players focus on exploration, crafting, trading, and long-term character development rather than traditional combat-heavy progression. Players build their reputation through professions, resource gathering, and economic activity, working cooperatively or competitively in a sandbox-style environment. The game features a classless progression system, a vast world to explore, and a player-driven economy centered on crafting and market exchange. Its design emphasizes strategic planning, specialization, and social interaction, with many activities unfolding over extended real-time periods."
263,Portal: Still Alive,Adventure,['Xbox 360'],2008-10-22,Valve,Valve,"Portal: Still Alive is an expanded version of Valve’s award-winning puzzle-adventure game Portal, released for Xbox 360 via Xbox Live Arcade. It includes the full original Portal campaign set in Aperture Science, where players use the handheld portal device to solve physics-based puzzles, navigate hazardous test chambers, and outsmart the AI GLaDOS. Still Alive adds 14 bonus challenge maps inspired by earlier PC map pack content, increasing replay value and emphasizing precision, speed, and creative portal use. The game is known for its dark humor, minimalist storytelling, iconic level design, and memorable antagonist. While it retains the core gameplay of Portal, this edition is specifically notable for bringing the experience to consoles with the bonus content packaged in one release."
264,Batman: Arkham City,Action,"['PC', 'PlayStation 3', 'Xbox 360', 'Wii U', 'Mac OS X', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2011-10-18,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Batman: Arkham City is an action-adventure game set in a massive open-world prison district in Gotham City. Players take control of Batman as he investigates a sinister plot involving Arkham City, a walled-off area where Gotham’s most dangerous criminals are confined. The game blends stealth, free-flow combat, detective work, and gadget-based exploration, with Batman facing iconic villains such as the Joker, Two-Face, Penguin, and Hugo Strange. It is widely praised for its atmosphere, story, combat system, and faithful portrayal of the Dark Knight."
265,Space Rangers,RPG,['PC'],2002-11-01,Elemental Games,1C Company,"Space Rangers is a genre-blending sci-fi RPG with strategy, trading, and open-ended exploration set in a vast galaxy overrun by hostile alien forces. Players take on the role of a member of the Coalition, choosing their own path as a merchant, bounty hunter, pirate, explorer, or military officer. The game mixes turn-based space combat, text adventures, planetary missions, and dynamic economic simulation, allowing for highly varied playthroughs. Its freeform structure, humor, and emergent gameplay helped it become a cult classic among PC strategy and RPG fans."
266,Metroid Prime 2: Echoes,Adventure,"['GameCube', 'Nintendo Wii']",2004-11-15,Retro Studios,Nintendo,"Metroid Prime 2: Echoes is a first-person action-adventure game and the sequel to Metroid Prime. Players control Samus Aran as she explores the planet Aether, which has been split into the bright Light World and the dangerous Dark World. Using the series’ signature mix of exploration, combat, puzzle-solving, and ability-based progression, Samus must uncover the mystery behind the planet’s corruption while battling hostile creatures and the Ing Empire. The game is known for its atmospheric environments, challenging combat, and the Dark Aether mechanic, which continuously damages Samus unless she finds safe zones or upgrades. It expands on the Prime formula with new weapons, beams, visors, and multiplayer deathmatch mode."
267,Space Rangers 2: Reboot,RPG,['PC'],2004-10-01,Elemental Games,1C Company,"Space Rangers 2: Reboot is a hybrid sci-fi RPG/strategy game set in a living galaxy threatened by the hostile Dominators. Players take on the role of a space ranger, freely choosing how to progress through trading, combat, exploration, piracy, diplomacy, or bounty hunting. The game combines real-time tactical space battles, text adventures, planet-side missions, and turn-based strategy elements in a dynamic open universe where factions, economies, and events evolve independently of the player. It is known for its humorous writing, large amount of content, and high replayability. 'Reboot' refers to the enhanced, remastered edition released with improved compatibility, updated content, and refinements over the original Space Rangers 2."
268,Ratchet & Clank: Going Commando,Action,['PlayStation 2'],2003-10-28,Insomniac Games,Sony Computer Entertainment,"Ratchet & Clank: Going Commando is a third-person action-platformer and the second main entry in the Ratchet & Clank series. Players control Ratchet, with his robotic companion Clank, as they travel across multiple planets, battle enemies with an inventive arsenal of upgradeable weapons and gadgets, and complete missions involving combat, platforming, puzzles, and light exploration. The game expands on the original with deeper weapon progression, arena challenges, hoverboard races, and RPG-like customization elements. Set in a colorful sci-fi universe, it follows Ratchet’s adventure after he is hired by the Megacorp corporation, only to become involved in a larger conspiracy. The game is known for its fast-paced combat, humor, polished presentation, and extensive use of unique weapons."
269,Knights of Honor,RTS,['PC'],2004-09-29,Black Sea Studios,Sunflowers Interactive Entertainment,"Knights of Honor is a real-time strategy game with strong grand-strategy elements, set in medieval Europe, the Middle East, and North Africa. Players take control of one of many kingdoms and guide it through diplomacy, warfare, economics, religion, and dynastic politics. The game blends army management with kingdom-level decisions, allowing players to appoint knights as marshals, spymasters, priests, merchants, and diplomats to influence their realm. Battles are fought in real time, while territorial control and expansion are managed on a strategic map. Its focus on accessible empire-building and historical flavor made it a distinctive entry in the genre."
270,God Hand,Action,['PlayStation 2'],2006-09-14,Clover Studio,Capcom,"God Hand is a third-person beat 'em up and action game developed by Clover Studio and published by Capcom for the PlayStation 2. Players control Gene, a martial artist who acquires the legendary God Hand, a powerful divine arm, and must battle through a bizarre, over-the-top world filled with gangs, demons, and eccentric bosses. The game is known for its humorous tone, exaggerated difficulty, customizable combat moves, and dynamic enemy AI that adapts to the player's skill level. Its combat system lets players chain punches, kicks, and special techniques into stylish combos while managing a unique risk-reward mechanic centered on Gene's special abilities. God Hand became a cult classic for its challenging gameplay, distinctive art style, and self-aware comedy."
271,Space Rangers 2: Rise of the Dominators,RPG,['PC'],2004-12-10,Elemental Games,1C Company,"Space Rangers 2: Rise of the Dominators is a genre-blending sci-fi RPG set in a living galaxy filled with trade, exploration, combat, and emergent events. Players take on the role of a Space Ranger, choosing from multiple career paths such as trader, pirate, bounty hunter, or warrior while battling the Dominators, a machine race threatening the galaxy. The game combines turn-based planetary exploration, real-time space combat, text adventures, strategy-style missions, and open-ended sandbox progression. Its strong emphasis on freedom, randomized events, and quirky humor made it a cult favorite among PC players."
272,Sly 3: Honor Among Thieves,Adventure,['PlayStation 2'],2005-09-26,Sucker Punch Productions,Sony Computer Entertainment,"Sly 3: Honor Among Thieves is a stealth-action platformer and the third entry in the Sly Cooper series. The game follows master thief Sly Cooper, his partner Bentley, and brawler Murray as they assemble a team to break into the heavily fortified Cooper Vault. To succeed, they travel the world recruiting specialists and pulling off elaborate heists across varied locations. Gameplay mixes stealth, platforming, combat, and vehicle-based missions, with each character offering different abilities and play styles. The game also expands on the series with cooperative-style team planning, new playable characters, and a larger focus on cinematic presentation and mission variety. It is known for its stylish cel-shaded visuals, humor, and colorful cast of characters."
273,Bully,Action,"['PlayStation 2', 'Windows', 'macOS', 'iOS', 'Android', 'Xbox 360', 'Xbox One', 'PlayStation 3', 'PlayStation 4']",2006-10-17,Rockstar Vancouver,Rockstar Games,"Bully is an open-world action-adventure game set at the fictional Bullworth Academy, a troubled boarding school in New England. Players control Jimmy Hopkins, a rebellious teen navigating school life, social cliques, pranks, classes, and rivalries while trying to stop bullying and rise through the school's hierarchy. The game mixes exploration, melee combat, stealth, mini-games, and side missions with a satirical story about adolescence and authority. Originally released on PlayStation 2, it later appeared in an enhanced Scholarship Edition for other platforms."
